epoch,accuracy,loss
0,0.04576941952109337,10.053462982177734
1,0.05096486955881119,8.510496139526367
2,0.05393369495868683,7.3040032386779785
3,0.0885700136423111,6.341782569885254
4,0.06902523338794708,5.581081867218018
5,0.06234537437558174,4.952732086181641
6,0.06234537437558174,4.436447620391846
7,0.0593765452504158,4.0010480880737305
8,0.05616031587123871,3.637181043624878
9,0.05096486955881119,3.326813220977783
10,0.05541811138391495,3.0809030532836914
11,0.09722909331321716,2.8898367881774902
12,0.09797129780054092,2.7356016635894775
13,0.10094013065099716,2.6080851554870605
14,0.10192973911762238,2.5068864822387695
15,0.11751607805490494,2.4243717193603516
16,0.20979712903499603,2.3592166900634766
17,0.21350815892219543,2.3060109615325928
18,0.22563087940216064,2.265065908432007
19,0.2380009889602661,2.2313268184661865
20,0.2486392855644226,2.2035582065582275
21,0.2587827742099762,2.179562568664551
22,0.26175162196159363,2.1589367389678955
23,0.26422563195228577,2.1412622928619385
24,0.2624938189983368,2.1253013610839844
25,0.2619990110397339,2.110297203063965
26,0.2619990110397339,2.096889019012451
27,0.26323601603507996,2.084658622741699
28,0.26422563195228577,2.0736515522003174
29,0.2639782428741455,2.063321352005005
30,0.26472043991088867,2.0536558628082275
31,0.2666996419429779,2.044428825378418
32,0.2662048637866974,2.035504102706909
33,0.2662048637866974,2.0269243717193604
34,0.2689262628555298,2.0188565254211426
35,0.2689262628555298,2.0106334686279297
36,0.2699158787727356,2.002898693084717
37,0.27065807580947876,1.9953747987747192
38,0.27065807580947876,1.9879486560821533
39,0.27115288376808167,1.9805530309677124
40,0.27288469672203064,1.9732940196990967
41,0.27387431263923645,1.9659510850906372
42,0.2741217315196991,1.9582685232162476
43,0.274616539478302,1.9504486322402954
44,0.2751113176345825,1.942483901977539
45,0.27436912059783936,1.9340604543685913
46,0.27115288376808167,1.9246609210968018
47,0.2662048637866974,1.91493821144104
48,0.26472043991088867,1.9051733016967773
49,0.264473021030426,1.896446943283081
50,0.264473021030426,1.8889952898025513
51,0.2657100558280945,1.8821059465408325
52,0.2686788737773895,1.8745063543319702
53,0.27288469672203064,1.8677172660827637
54,0.27610093355178833,1.8613487482070923
55,0.2788223624229431,1.855208158493042
56,0.281048983335495,1.8494206666946411
57,0.28278079628944397,1.8434312343597412
58,0.28401780128479004,1.8375049829483032
59,0.2837704122066498,1.8317592144012451
60,0.28451260924339294,1.8262096643447876
61,0.28649184107780457,1.8206604719161987
62,0.2862444221973419,1.8150579929351807
63,0.28698664903640747,1.8096731901168823
64,0.2879762351512909,1.8045507669448853
65,0.2889658510684967,1.7994428873062134
66,0.2911924719810486,1.7942365407943726
67,0.29341909289360046,1.789280891418457
68,0.2931717038154602,1.7840242385864258
69,0.29341909289360046,1.7788517475128174
70,0.29341909289360046,1.7737421989440918
71,0.2944087088108063,1.7685219049453735
72,0.295893132686615,1.7636669874191284
73,0.2963879406452179,1.7589061260223389
74,0.29811975359916687,1.7537810802459717
75,0.3000989556312561,1.7484077215194702
76,0.3010885715484619,1.7437514066696167
77,0.3015833795070648,1.7391587495803833
78,0.30257299542427063,1.7342281341552734
79,0.3028203845024109,1.7294632196426392
80,0.3028203845024109,1.7248986959457397
81,0.30405738949775696,1.7203474044799805
82,0.30628401041030884,1.7157938480377197
83,0.30826324224472046,1.7112998962402344
84,0.3107372522354126,1.7071236371994019
85,0.3102424442768097,1.702409029006958
86,0.30950024724006653,1.6974667310714722
87,0.3102424442768097,1.692838191986084
88,0.3122216761112213,1.6884782314300537
89,0.31519049406051636,1.6842265129089355
90,0.3159327208995819,1.6799577474594116
91,0.3149431049823761,1.6753009557724
92,0.3132112920284271,1.6706935167312622
93,0.3124690651893616,1.6663007736206055
94,0.3631865382194519,1.661954402923584
95,0.4878772795200348,1.6576015949249268
96,0.4871350824832916,1.6539957523345947
97,0.48960909247398376,1.6497703790664673
98,0.49332013726234436,1.6450995206832886
99,0.49604156613349915,1.6406408548355103
